ticker,date,open,high,low,close,volume,dividend,split,adj_open,adj_high,adj_low,adj_close,adj_volume
XOM,2022-04-22,86.66,88.12,85.0,85.13,23570107.0,0.0,1.0,79.4674242853918,80.8062477270796,77.9452003722398,78.0644106786914,23570107.0
XOM,2022-04-21,88.95,89.8,86.79,87.03,28999142.0,0.0,1.0,81.5673596836556,82.346811687378,79.5866345918434,79.8067151576003,28999142.0
XOM,2022-04-20,87.97,88.5,87.3,87.96,20683565.0,0.0,1.0,80.6686973734816,81.1547086228614,80.0543057940769,80.6595273499084,20683565.0
XOM,2022-04-18,88.5,88.89,87.75,88.55,19010043.0,0.0,1.0,81.1547086228614,81.5123395422164,80.4669568548711,81.2005587407274,19010043.0
XOM,2022-04-14,86.67,88.46,86.2323,87.83,24543251.0,0.0,1.0,79.476594308965,81.1180285285686,79.0752223771658,80.5403170434567,24543251.0
XOM,2022-04-13,86.61,87.11,85.19,86.81,19295971.0,0.0,1.0,79.4215741675257,79.880075346186,78.1194308201307,79.6049746389898,19295971.0
XOM,2022-04-12,85.71,86.82,85.375,85.6,22434009.0,0.0,1.0,78.5962720459373,79.614144662563,78.2890762562349,78.4954017866321,22434009.0
XOM,2022-04-11,85.78,85.93,83.5,83.85,21786649.0,0.0,1.0,78.6604622109497,78.7980125645478,76.5696968362591,76.8906476613212,21786649.0
XOM,2022-04-08,85.17,87.21,85.17,86.84,24862600.0,0.0,1.0,78.1010907729843,79.971775581918,78.1010907729843,79.6324847097094,24862600.0
XOM,2022-04-07,83.83,85.44,82.71,85.05,26069593.0,0.0,1.0,76.8723076141748,78.3486814094608,75.8452649739759,77.9910504901058,26069593.0
XOM,2022-04-06,83.42,84.7,82.94,83.65,24748189.0,0.0,1.0,76.4963366476734,77.6700996650436,76.0561755161596,76.7072471898572,24748189.0
XOM,2022-04-05,83.5,85.07,82.555,82.73,21742980.0,0.0,1.0,76.5696968362591,78.0093905372522,75.7031296085912,75.8636050211223,21742980.0
XOM,2022-03-30,83.06,84.01,82.71,83.78,22069663.0,0.0,1.0,76.1662157990381,77.0373680384925,75.8452649739759,76.8264574963088,22069663.0
XOM,2022-03-29,80.81,82.49,79.76,82.37,27016352.0,0.0,1.0,74.102960495067,75.6435244553654,73.1401080198805,75.533484172487,27016352.0
XOM,2022-03-28,83.17,83.31,82.02,82.81,21538588.0,0.0,1.0,76.2670860583433,76.3954663883682,75.2125333474248,75.9369652097079,21538588.0
XOM,2022-03-25,82.92,85.49,82.79,85.2,22394600.0,0.0,1.0,76.0378354690132,78.3945315273268,75.9186251625616,78.1286008437039,22394600.0
XOM,2022-03-24,83.46,84.6499,82.75,83.38,19859601.0,0.0,1.0,76.5330167419663,77.6241578469419,75.8819450682687,76.4596565533806,19859601.0
XOM,2022-03-23,83.34,84.27,83.05,83.13,27687781.0,0.0,1.0,76.4229764590878,77.2757886513958,76.1570457754649,76.2304059640505,27687781.0
XOM,2022-03-22,81.63,82.2,80.79,81.84,23119426.0,0.0,1.0,74.8549024280698,75.3775937717425,74.0846204479206,75.0474729231071,23119426.0
XOM,2022-03-21,80.12,82.515,79.74,82.2,33071972.0,0.0,1.0,73.4702288685159,75.6664495142984,73.1217679727341,75.3775937717425,33071972.0
XOM,2022-03-18,79.06,79.3898,78.1,78.67,41431437.0,0.0,1.0,72.4982063697562,72.8006337472005,71.6178841067285,72.1405754504012,41431437.0
XOM,2022-03-17,78.18,79.15,77.07,78.98,34026700.0,0.0,1.0,71.6912442953142,72.580736581915,70.6733716786885,72.4248461811706,34026700.0
XOM,2022-03-16,77.81,78.62,76.25,76.93,37771755.0,0.0,1.0,71.3519534231056,72.0947253325352,69.9214297456857,70.5449913486636,37771755.0
XOM,2022-03-15,78.82,79.17,76.37,77.22,47912018.0,0.0,1.0,72.2781258039993,72.5990766290615,70.0314700285641,70.8109220322865,47912018.0
XOM,2022-03-14,83.06,83.45,80.5,81.88,37446843.0,0.0,1.0,76.1662157990381,76.5238467183931,73.8186897642977,75.0841530173999,37446843.0
XOM,2022-03-11,84.07,86.23,83.97,84.92,35283257.0,0.0,1.0,77.0923881799317,79.073113271744,77.0006879441997,77.8718401836541,35283257.0
XOM,2022-03-08,89.05,91.505,85.43,87.78,72000526.0,0.0,1.0,81.6590599193877,83.9103007066094,78.3395113858876,80.4944669255907,72000526.0
XOM,2022-03-07,84.92,87.23,83.9,87.12,55136082.0,0.0,1.0,77.8718401836541,79.9901156290644,76.9364977791873,79.8892453697592,55136082.0
XOM,2022-03-04,81.05,84.275,80.66,84.09,42784130.0,0.0,1.0,74.3230410608239,77.2803736631824,73.965410141469,77.1107282270782,42784130.0
XOM,2022-03-03,79.86,81.77,79.63,81.04,30159711.0,0.0,1.0,73.2318082556126,74.9832827580947,73.0208977134289,74.3138710372507,30159711.0
